x	y
0.0	3.929022
1.5563945599439584e-12	3.929021
3.936759515687333e-12	3.929021
6.247362819260119e-12	3.92902
8.99773784396752e-12	3.929019
1.1863902787560615e-11	3.929019
1.5174851026905807e-11	3.929018
1.859035311352038e-11	3.929017
2.282579270181887e-11	3.929015
2.700005203292046e-11	3.929011
3.0617800758262577e-11	3.929007
3.3826397849353327e-11	3.929001
3.681248105385528e-11	3.928993
3.9962538123327034e-11	3.92898
4.3407502249472995e-11	3.928959
4.712243173400963e-11	3.928926
5.125703644095629e-11	3.928872
5.580179413264611e-11	3.928783
6.091068083500541e-11	3.928632
6.66394207924262e-11	3.928375
7.317673919665987e-11	3.927925
8.067777914442663e-11	3.927128
8.94479941606133e-11	3.925677
9.989095914160148e-11	3.922948
1.1280860067689608e-10	3.917513
1.2740460390240488e-10	3.907731
1.415007851508261e-10	3.893673
1.5671372653701523e-10	3.872365
1.7348088748634591e-10	3.84046
1.925978330752747e-10	3.792367
2.1288786413990626e-10	3.726706
2.318217908286427e-10	3.650929
2.4174014102147607e-10	3.605403
2.6175117829501174e-10	3.500714
2.73922092270556e-10	3.428493
2.8856777508295224e-10	3.333199
2.983335572007297e-10	3.26474
3.081284872909272e-10	3.192348
3.2004390054318435e-10	3.099657
3.3198745965080494e-10	3.00215
3.5238309229163967e-10	2.826931
3.684809373724401e-10	2.682363
3.777480917338709e-10	2.597109
3.9708978807601844e-10	2.416176
3.9890455971034367e-10	2.399002
4.007193313446689e-10	2.381814
4.025341029789941e-10	2.364613
4.043488746150134e-10	2.347397
4.061636462484916e-10	2.330168
4.079784178828168e-10	2.312925
4.0979318951798907e-10	2.295667
4.1250215888459914e-10	2.269898
4.1557215935249806e-10	2.240678
4.1893352808691997e-10	2.208673
4.2311093745054317e-10	2.168895
4.281970828505513e-10	2.120484
4.348149852478699e-10	2.057575
4.4320986352083054e-10	1.978009
4.5015321572844554e-10	1.912485
4.566206037786506e-10	1.851765
4.6378128937784436e-10	1.784993
4.726050462665048e-10	1.703564
4.816966601486002e-10	1.620915
4.931067444729445e-10	1.519583
5.04534777986177e-10	1.421601
5.16373441237494e-10	1.324909
5.216330312735699e-10	1.283746
5.313106562935215e-10	1.21144
5.375118121432905e-10	1.16775
5.432572230389549e-10	1.12927
5.479336167572545e-10	1.099437
5.51817410968172e-10	1.075708
5.558361619348415e-10	1.052182
5.604444721197757e-10	1.026516
5.656939807747956e-10	0.9990059
5.712067079259887e-10	0.9721057
5.779021985040063e-10	0.9421665
5.865148742214752e-10	0.9079906
5.950513779549811e-10	0.8787917
6.050282025286152e-10	0.8502722
6.163445666646587e-10	0.8247064
6.261894310123636e-10	0.8078322
6.346024724017006e-10	0.7969862
6.434254945197724e-10	0.7887371
6.525380349649287e-10	0.7831388
6.628542826057505e-10	0.7798054
6.732384301025372e-10	0.7790698
6.841845978621788e-10	0.7804818
6.951325487811815e-10	0.7835271
7.064291368739342e-10	0.7878111
7.176245868178939e-10	0.792741
7.288904058848781e-10	0.798032
7.397303459491853e-10	0.8031983
7.496259797534476e-10	0.8078456
7.599355600100004e-10	0.8125267
7.752077534142223e-10	0.8190467
7.928907553377104e-10	0.8258945
8.133083388068801e-10	0.8328057
8.351341074095252e-10	0.8389855
8.6438461673892e-10	0.8453349
8.891591339697187e-10	0.849068
9.134992109495452e-10	0.851413
9.350075898897326e-10	0.852545
9.556116630968746e-10	0.8529562
9.775074747063892e-10	0.8528473
9.928054459921968e-10	0.8525178
1.008547147223912e-09	0.8520312
1.0255837796843201e-09	0.8514002
1.0462650628262105e-09	0.8505664
1.0650731022475871e-09	0.849796
1.0868095191217015e-09	0.8489433
1.1076533705739475e-09	0.8481953
1.131371335228808e-09	0.8474511
1.1551443816959215e-09	0.8468283
1.1818599815066621e-09	0.8462725
1.2095727014911717e-09	0.8458418
1.2411714132627585e-09	0.8455013
1.2783607860886642e-09	0.8452547
1.294407394220177e-09	0.84519
1.3150138954709793e-09	0.8451319
1.335095782553655e-09	0.8450938
1.3568190864065278e-09	0.8450658
